hat_Y, Y
4.25323, 10
10.4616, 10.0627
12.4722, 10.187
12.0825, 10.3711
11.7993, 10.612
11.8351, 10.9058
12.2403, 11.2481
12.9, 11.6334
13.5749, 12.0555
14.3567, 12.508
15.7703, 12.9835
17.0823, 13.4746
17.4334, 13.9736
17.7218, 14.4726
18.0442, 14.9638
18.3053, 15.4393
18.5145, 15.8917
18.8144, 16.3139
19.1997, 16.6992
19.3987, 17.0414
19.5229, 17.3353
19.7596, 17.5762
20.3036, 17.7603
20.7529, 17.8846
20.7569, 17.9473
20.7062, 17.9473
20.6327, 17.8846
20.5651, 17.7603
20.4214, 17.5762
20.2514, 17.3353
19.9839, 17.0414
19.5473, 16.6992
18.748, 16.3139
16.995, 15.8917
13.7664, 15.4393
12.4355, 14.9638
12.1095, 14.4726
11.5792, 13.9736
10.7997, 13.4746
10.3394, 12.9835
10.0618, 12.508
9.66136, 12.0555
8.85445, 11.6334
8.22608, 11.2481
8.08109, 10.9058
8.14227, 10.612
8.194, 10.3711
8.24322, 10.187
8.30064, 10.0627
8.31516, 10
8.34426, 10
8.37884, 10.0627
8.41662, 10.187
8.44505, 10.3711
8.50771, 10.612
8.56364, 10.9058
8.64933, 11.2481
8.79172, 11.6334
9.0091, 12.0555
9.41617, 12.508
10.3982, 12.9835
11.555, 13.4746
11.6967, 13.9736
11.8455, 14.4726
12.1519, 14.9638
12.6481, 15.4393
12.8806, 15.8917
12.8485, 16.3139
12.8228, 16.6992
12.8023, 17.0414
12.7814, 17.3353
12.7656, 17.5762
12.7392, 17.7603
12.7235, 17.8846
12.6945, 17.9473
12.664, 17.9473
12.6199, 17.8846
12.5592, 17.7603
12.5066, 17.5762
12.3991, 17.3353
12.2384, 17.0414
12.0247, 16.6992
11.6824, 16.3139
10.7873, 15.8917
9.06525, 15.4393
7.70084, 14.9638
7.42442, 14.4726
6.98891, 13.9736
6.2792, 13.4746
6.14703, 12.9835
6.15856, 12.508
6.19593, 12.0555
6.21719, 11.6334
6.27579, 11.2481
6.33297, 10.9058
6.34691, 10.612
6.39534, 10.3711
6.4255, 10.187
6.44354, 10.0627
6.46038, 10
