hat_Y, Y
2.17608, 25
5.05922, 24.9969
8.49747, 24.9906
10.9969, 24.9812
12.8483, 24.9686
14.3658, 24.9529
15.1625, 24.934
15.4278, 24.9121
15.2246, 24.8869
15.3442, 24.8587
15.3592, 24.8273
15.5577, 24.7927
15.7935, 24.7551
16.0783, 24.7143
16.1359, 24.6704
16.1801, 24.6233
16.2729, 24.5731
16.1889, 24.5198
16.1604, 24.4634
16.0853, 24.4038
15.9548, 24.3412
15.7639, 24.2754
15.7163, 24.2065
15.5071, 24.1345
15.4623, 24.0594
15.37, 23.9812
15.2488, 23.8998
15.1422, 23.8154
14.9317, 23.7279
14.8637, 23.6373
14.8195, 23.5436
14.7492, 23.4468
14.6772, 23.347
14.6581, 23.2441
14.5868, 23.1381
14.5766, 23.029
14.4707, 22.9169
14.4642, 22.8017
14.3196, 22.6834
14.3183, 22.5621
14.2343, 22.4378
14.2388, 22.3104
14.1929, 22.18
14.1286, 22.0465
14.1243, 21.91
14.0607, 21.7705
14.0323, 21.628
14.0288, 21.4825
13.979, 21.334
13.929, 21.1825
13.8768, 21.028
13.8232, 20.8705
13.7704, 20.71
13.7373, 20.5466
13.6843, 20.3801
13.6813, 20.2108
13.7034, 20.0385
13.6818, 19.8632
13.6775, 19.685
13.6089, 19.5038
13.5484, 19.3198
13.553, 19.1328
13.4512, 18.9429
13.4374, 18.7501
13.3248, 18.5544
13.2958, 18.3559
13.2924, 18.1544
13.2313, 17.9501
13.1316, 17.7429
13.0128, 17.5328
12.9578, 17.32
12.9113, 17.1042
12.8079, 16.8857
12.7532, 16.6643
12.65, 16.4401
12.5302, 16.2131
12.4784, 15.9833
12.3874, 15.7507
12.2612, 15.5154
12.1354, 15.2773
12.1029, 15.0364
12.0321, 14.7928
11.9027, 14.5464
11.8693, 14.2973
11.787, 14.0455
11.7712, 13.791
11.7147, 13.5338
11.6922, 13.2739
11.6554, 13.0113
11.523, 12.746
11.5374, 12.4781
11.4914, 12.2075
11.4334, 11.9343
11.419, 11.6585
11.3927, 11.3801
11.3651, 11.099
11.325, 10.8154
11.338, 10.5292
11.2956, 10.2404
11.3185, 9.94905
