hat_Y, Y
5.06519, 25
12.9416, 24.9969
20.6818, 24.9906
24.6148, 24.9812
25.3643, 24.9686
25.4004, 24.9529
25.2461, 24.934
25.1796, 24.9121
25.1753, 24.8869
25.1539, 24.8587
25.1198, 24.8273
25.0878, 24.7927
25.0593, 24.7551
24.9993, 24.7143
24.9413, 24.6704
24.8897, 24.6233
24.8326, 24.5731
24.7572, 24.5198
24.6609, 24.4634
24.5907, 24.4038
24.4857, 24.3412
24.3891, 24.2754
24.3028, 24.2065
24.2099, 24.1345
24.0849, 24.0594
24.0211, 23.9812
23.8815, 23.8998
23.7872, 23.8154
23.6778, 23.7279
23.5697, 23.6373
23.4815, 23.5436
23.3456, 23.4468
23.2542, 23.347
23.1455, 23.2441
23.0146, 23.1381
22.8789, 23.029
22.7594, 22.9169
22.6156, 22.8017
22.5155, 22.6834
22.3715, 22.5621
22.2905, 22.4378
22.1291, 22.3104
22.0339, 22.18
21.8684, 22.0465
21.748, 21.91
21.5827, 21.7705
21.4486, 21.628
21.3049, 21.4825
21.1335, 21.334
20.9833, 21.1825
20.8218, 21.028
20.6675, 20.8705
20.5381, 20.71
20.4102, 20.5466
20.2673, 20.3801
20.1205, 20.2108
19.9493, 20.0385
19.7438, 19.8632
19.5369, 19.685
19.3087, 19.5038
19.1112, 19.3198
18.966, 19.1328
18.7934, 18.9429
18.6503, 18.7501
18.4666, 18.5544
18.305, 18.3559
18.1567, 18.1544
17.9351, 17.9501
17.7187, 17.7429
17.4995, 17.5328
17.3486, 17.32
17.2065, 17.1042
17.0299, 16.8857
16.8069, 16.6643
16.5426, 16.4401
16.3334, 16.2131
16.15, 15.9833
15.904, 15.7507
15.6513, 15.5154
15.4404, 15.2773
15.2214, 15.0364
14.9793, 14.7928
14.7522, 14.5464
14.5215, 14.2973
14.2276, 14.0455
13.9605, 13.791
13.667, 13.5338
13.2898, 13.2739
12.8559, 13.0113
12.4096, 12.746
12.0262, 12.4781
11.6413, 12.2075
11.2923, 11.9343
11.0101, 11.6585
10.7059, 11.3801
10.45, 11.099
10.2479, 10.8154
10.0635, 10.5292
9.92031, 10.2404
9.77839, 9.94905
